fpr,tpr
0.0,0.0
0.0,0.0002473410833539451
0.0,0.0037101162503091764
0.0,0.004204798417017067
0.0,0.18773188226564433
0.0002472799208704253,0.18773188226564433
0.0002472799208704253,0.48231511254019294
0.0004945598417408506,0.48231511254019294
0.0004945598417408506,0.5298046005441504
0.000741839762611276,0.5298046005441504
0.000741839762611276,0.6524857778877071
0.0009891196834817012,0.6524857778877071
0.0009891196834817012,0.6552065298046006
0.0012363996043521265,0.6552065298046006
0.0012363996043521265,0.657185258471432
0.001483679525222552,0.657185258471432
0.001483679525222552,0.6697996537224833
0.0019782393669634025,0.6697996537224833
0.0019782393669634025,0.7076428394756369
0.002225519287833828,0.7076428394756369
0.002225519287833828,0.7083848627256988
0.002472799208704253,0.7083848627256988
0.002472799208704253,0.7106109324758842
0.0027200791295746785,0.7106109324758842
0.0027200791295746785,0.7120949789760079
0.002967359050445104,0.7120949789760079
0.002967359050445104,0.716299777393025
0.003214638971315529,0.716299777393025
0.003214638971315529,0.7234726688102894
0.0034619188921859545,0.7234726688102894
0.0034619188921859545,0.7306455602275538
0.00370919881305638,0.7306455602275538
0.00370919881305638,0.7308929013109078
0.003956478733926805,0.7308929013109078
0.003956478733926805,0.7417759089784813
0.0042037586547972305,0.7417759089784813
0.0042037586547972305,0.7472174128122682
0.004451038575667656,0.7472174128122682
0.004451038575667656,0.7474647538956221
0.004698318496538081,0.7474647538956221
0.004698318496538081,0.7511748701459312
0.004945598417408506,0.7511748701459312
0.004945598417408506,0.7558743507296561
0.0051928783382789315,0.7558743507296561
0.0051928783382789315,0.7568637150630719
0.005440158259149357,0.7568637150630719
0.005440158259149357,0.7573583972297798
0.0056874381800197825,0.7573583972297798
0.0056874381800197825,0.761315854563443
0.005934718100890208,0.761315854563443
0.005934718100890208,0.7731882265644323
0.006181998021760633,0.7731882265644323
0.006181998021760633,0.7736829087311402
0.006429277942631058,0.7736829087311402
0.006429277942631058,0.7793717536482809
0.0066765578635014835,0.7793717536482809
0.0066765578635014835,0.7823398466485283
0.006923837784371909,0.7823398466485283
0.006923837784371909,0.788028691565669
0.0071711177052423344,0.788028691565669
0.0071711177052423344,0.7897600791491467
0.00741839762611276,0.7897600791491467
0.00741839762611276,0.7917388078159783
0.007665677546983185,0.7917388078159783
0.007665677546983185,0.7924808310660401
0.00791295746785361,0.7924808310660401
0.00791295746785361,0.7954489240662874
0.008160237388724036,0.7954489240662874
0.008160237388724036,0.7961909473163492
0.008407517309594461,0.7961909473163492
0.008407517309594461,0.7969329705664111
0.008654797230464886,0.7969329705664111
0.008654797230464886,0.797180311649765
0.008902077151335312,0.797180311649765
0.008902077151335312,0.797427652733119
0.009149357072205737,0.797427652733119
0.009149357072205737,0.8028691565669057
0.009396636993076163,0.8028691565669057
0.009396636993076163,0.8053425674004452
0.009643916913946587,0.8053425674004452
0.009643916913946587,0.8060845906505071
0.010138476755687438,0.8060845906505071
0.010138476755687438,0.806579272817215
0.01063303659742829,0.806579272817215
0.01063303659742829,0.8130101409844175
0.010880316518298714,0.8130101409844175
0.010880316518298714,0.8147415285678952
